"skill_id","experience_id","name","skill_level"
"1","1","Python","9"
"2","1","Flask","6"
"3","1","Artificial Intelligence","7"
"4","2","Web Scraping","8"
"5","2","BeautifulSoup","7"
"8","4","Cisco Packet Tracer","7"
"9","1","GitHub","8"
"10","5","Java","7"
"11","5","Object-Oriented Programming (OOP)","8"
"12","5","Data Structures & Algorithms","8"
"13","6","MATLAB","7"
"14","7","Clustering","8"
"15","7","Data Cleaning","9"
"16","8","Data Preprocessing","9"
"17","8","Feature Engineering","8"
